team,player_name,position,club,caps,role
Romania,Adrian Motoc,Lock,Biarritz,28,Starter
Romania,Stefan Iancu,Lock,Steaua,10,Starter
Romania,Florin Bardasu,Hooker,Steaua,12,Bench / Rotation
Romania,Gheorghe Gajion,Tighthead Prop,Mont-de-Marsan,24,Bench / Rotation
Romania,Marius Iftimiciuc,Lock,Carcassonne,15,Bench / Rotation
Canada,Liam Murray,Loosehead Prop,Dallas Jackals,10,Starter
Canada,Andrew Quattrin,Hooker,New England,20,Starter
Canada,Cole Keith,Tighthead Prop,New England,28,Starter
Canada,Conor Keys,Lock,New England,32,Starter
Canada,Iosefo Saqanere,Lock,Houston,8,Starter
Canada,Foster Dewitt,Hooker,New England,5,Bench / Rotation
Canada,Conor Young,Tighthead Prop,New England,8,Bench / Rotation
Canada,Kyle Baillie,Lock,New England,35,Bench / Rotation
